CpG,Beta,SE,P,StudyID
cg26518628,-1.75,0.43,6.1e-05,Battram-T_total_body_bone_mineral_density
cg04709900,-1.09,0.26,4.6e-05,Battram-T_total_body_bone_mineral_density
cg22077686,-1.62,0.4,6e-05,Battram-T_total_body_bone_mineral_density
cg09824782,-1.08,0.27,9.7e-05,Battram-T_total_body_bone_mineral_density
cg13768503,-1.03,0.26,9.1e-05,Battram-T_total_body_bone_mineral_density
cg24221507,1.24,0.32,9.2e-05,Battram-T_total_body_bone_mineral_density
cg25228737,-1.04,0.26,9.8e-05,Battram-T_total_body_bone_mineral_density
cg00402068,1.46,0.35,3.1e-05,Battram-T_total_body_bone_mineral_density
cg07283582,-1.71,0.42,4.6e-05,Battram-T_total_body_bone_mineral_density
cg13003786,-1.44,0.37,9.7e-05,Battram-T_total_body_bone_mineral_density
cg26920327,-1.59,0.4,7.7e-05,Battram-T_total_body_bone_mineral_density
cg27274542,-1.48,0.35,3.2e-05,Battram-T_total_body_bone_mineral_density
