CpG,Beta,SE,P,StudyID
cg27591117,0.479,0.1071,7.7e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg27659974,0.074,0.0187,6.5e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg02432444,0.08,0.0184,1.3e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg02484673,0.12,0.0269,8.7e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg02549314,0.149,0.0368,5.4e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg02625925,0.153,0.0369,3.5e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg02831604,0.214,0.0521,3.8e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg02899772,0.202,0.049,3.8e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg03078690,0.111,0.0283,8.4e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg03533141,0.157,0.0364,1.5e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg03652336,0.173,0.0356,1.2e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg03671556,-0.055,0.014,9.4e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg03673684,0.064,0.0148,1.7e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg03676578,-0.136,0.03,5.8e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg03867607,0.401,0.0734,4.5e-08,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg04077141,0.147,0.0322,5.2e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg04150762,0.083,0.0195,2e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg04257969,0.299,0.0763,9e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg04539573,0.702,0.1801,9.8e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg00021532,0.073,0.0163,6.6e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg04656692,0.1,0.0222,6.5e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg04726821,0.087,0.0217,6.3e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg04975272,0.148,0.0369,5.9e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
