CpG,Beta,SE,P,StudyID
cg02342148,2.99,0.5292,1.6e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg13390284,4.89,0.786,4.93e-10,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg15645660,1.57,0.286,4.05e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg15821544,3.52,0.6644,1.17e-07,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg26407544,4.8,0.7554,2.1e-10,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg05731218,-5.91,0.8456,2.76e-12,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg14074251,3.57,0.5947,1.94e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg18346707,5.32,0.9629,3.3e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg18556455,4.22,0.7342,9.06e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg21644387,-4.74,0.8802,7.25e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg22385702,3.06,0.4906,4.47e-10,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg22883290,4.41,0.8014,3.73e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg04252044,-2.95,0.4659,2.42e-10,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg12307200,-4.98,0.5898,3.06e-17,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg16459281,3.01,0.4805,3.76e-10,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg27409802,-3.95,0.7371,8.37e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg12114584,5.09,0.7065,5.81e-13,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg06742628,3.77,0.5893,1.58e-10,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg22941668,2.53,0.47,7.32e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg07714812,3.11,0.5655,3.81e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg24676346,3.12,0.5681,3.98e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg03193328,-4.17,0.7704,6.2e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg08737189,3.67,0.6647,3.37e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg13639901,4.18,0.5661,1.54e-13,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg14430943,2.78,0.4403,2.71e-10,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg19140834,5.26,0.8655,1.22e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg22962123,1.7,0.3204,1.12e-07,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg25594100,3.15,0.4722,2.54e-11,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg05066959,2.69,0.3594,7.13e-14,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg10920329,6.01,1.0135,3e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg11823178,3.81,0.5098,7.83e-14,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg16140558,4.6,0.8177,1.85e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg17693222,4.66,0.8321,2.14e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg04126866,-3.07,0.5593,4.05e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg19007269,-4.94,0.8325,3e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg23968456,4.97,0.7945,3.97e-10,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg25917732,-3.43,0.6439,9.98e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg18343862,4.45,0.8161,4.96e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
cg21806242,1.95,0.3112,3.71e-10,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
