CpG,Beta,SE,P,StudyID
cg10636246,-0.98,0.16,5.2e-10,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg25420477,1.63,0.28,9e-09,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg07386061,1.03,0.2,3.3e-07,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg25769469,-1.38,0.25,5.4e-08,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg15867698,1.26,0.21,3.3e-09,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg04988978,-1.45,0.24,9.7e-10,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg19448292,1.38,0.23,7.9e-10,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg16125725,-2.3,0.4,6.8e-09,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg04983687,0.68,0.14,1.8e-06,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg20700740,-1.35,0.27,7e-07,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg23824902,1.04,0.22,3.1e-06,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg08922317,0.95,0.22,9.2e-06,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg26837399,-1.34,0.31,2e-05,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg03610527,-1.5,0.31,1.4e-06,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg00381391,0.85,0.19,6.4e-06,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg25114611,-0.91,0.2,5.8e-06,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg15029631,-1.17,0.26,8e-06,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg11881599,0.93,0.23,4e-05,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg15401418,-1.15,0.24,1e-06,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg18337287,0.88,0.2,1.3e-05,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
cg19821297,-0.76,0.19,6.6e-05,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model2
