CpG,Beta,SE,P,StudyID
cg22941668,-0.024,0.00522,6.1e-06,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg21225130,-0.014,0.00333,2.4e-05,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg22507723,-0.021,0.00466,4.6e-06,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg02286380,-0.0096,0.00245,8.9e-05,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg13699414,-0.022,0.00494,9.2e-06,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg06748153,-0.015,0.00384,8.6e-05,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg25697800,-0.022,0.00557,6.4e-05,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg26878209,-0.029,0.00506,1.6e-08,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg10420542,-0.02,0.00522,9.9e-05,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg03526224,0.012,0.00278,1.1e-05,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg19420482,0.013,0.00303,3.3e-05,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg22882460,-0.024,0.00607,6.4e-05,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg22862384,-0.026,0.00641,5.2e-05,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg27093944,0.015,0.00375,9.3e-05,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg00950418,0.013,0.00329,4.5e-05,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg00259518,-0.039,0.0071,3.8e-08,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg09963856,-0.025,0.00632,8.4e-05,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg21952528,-0.022,0.00508,2.3e-05,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
cg10575846,-0.033,0.0058,1.1e-08,Robert-F-Hillary_Prevalent_Parkinson's_Disease_(Self-report)_Fully-adjusted_model
