CpG,Beta,SE,P,StudyID
cg02930951,34,8.75,8.8e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg03281139,21,5.03,2e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg03297731,-34,6.52,1.7e-07,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg03486832,26,6.54,8.1e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg03714842,99,24.72,6.1e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg03922834,-27,6.28,1.7e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg04011474,-25,6.1,5.3e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg04049253,-18,4.05,7.3e-06,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg04113258,-37,7.9,3.4e-06,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg04158018,-19,4.52,3.1e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg04170359,-27,6.57,3e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg04173586,-12,3.05,8.2e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg04428662,-31,6.62,3.2e-06,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg04436755,26,5.48,1.7e-06,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg04460609,-18,4.65,9.5e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg04562757,-29,7.01,3.6e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg04578362,-21,5.03,3.3e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg04656101,-29,7.15,5.6e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg04682977,-43,7.74,3e-08,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg04700055,-17,4.16,4.9e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg04705499,-26,6.52,5.2e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg04816311,20,3.34,1.5e-09,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg04983687,20,4.27,2.8e-06,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg05001691,-37,8.82,2.5e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg05150608,12,2.82,3.7e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg05460226,13,3.19,3.9e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg05817750,44,6.99,4.7e-10,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg05927789,-19,4.54,3.7e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg05958351,-30,7.34,4.7e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg06420834,18,4.69,9.5e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg06559575,-24,5.62,1.9e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg06675483,15,3.79,4.9e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
cg06781135,22,5.73,9.3e-05,33931109_Breeze-C_estimated_glomerular_filtration_rate__egfr__summary_results_from_lmms_were_meta-analyzed_within_and_across_ethnicities
