CpG,Beta,SE,P,StudyID
cg22077686,-1.36,0.34,6.7e-05,Battram-T_leg_bone_mineral_density
cg13180098,-0.99,0.24,5.2e-05,Battram-T_leg_bone_mineral_density
cg14520079,0.64,0.14,9.9e-06,Battram-T_leg_bone_mineral_density
cg06258022,-0.96,0.22,1.9e-05,Battram-T_leg_bone_mineral_density
cg00659129,1.33,0.29,4.5e-06,Battram-T_leg_bone_mineral_density
cg20847701,-1.14,0.28,4.3e-05,Battram-T_leg_bone_mineral_density
cg13768503,-0.94,0.22,2.7e-05,Battram-T_leg_bone_mineral_density
cg14300812,0.87,0.22,5.8e-05,Battram-T_leg_bone_mineral_density
cg13506485,-1.24,0.31,7.1e-05,Battram-T_leg_bone_mineral_density
cg24867247,-0.97,0.25,9.1e-05,Battram-T_leg_bone_mineral_density
cg27560367,1.14,0.28,5.4e-05,Battram-T_leg_bone_mineral_density
cg00402068,1.31,0.3,1.1e-05,Battram-T_leg_bone_mineral_density
cg20050012,0.96,0.21,3.2e-06,Battram-T_leg_bone_mineral_density
