CpG,Beta,SE,P,StudyID
cg11961495,-0.041,0.00986,2.6e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg00828556,-0.062,0.01456,2.3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg00573770,-0.031,0.00601,1.8e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg10761804,-0.046,0.0099,4e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg08754654,0.016,0.00385,4.1e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg06855983,-0.028,0.00723,9e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg24173182,0.038,0.00931,5.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg21322436,-0.072,0.01048,4.8e-12,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg12126344,-0.054,0.01373,8.3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg10177032,0.03,0.00729,5.1e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg13645530,0.048,0.00923,1.5e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg00253658,0.023,0.00471,1.4e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg26354221,0.048,0.01031,3.4e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg20684110,-0.04,0.00954,2.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg02523640,0.021,0.00495,2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg02003183,0.039,0.0069,2.4e-08,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg02019444,-0.048,0.01061,5.7e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg27553947,-0.051,0.01139,8.9e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg14179389,-0.04,0.00572,3.5e-12,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg24704287,-0.041,0.00774,9.6e-08,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg09476997,0.028,0.00705,9.1e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg21022949,-0.04,0.00983,4e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg25555460,0.038,0.00937,5.8e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg00159243,-0.064,0.01244,3.2e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg07381806,-0.043,0.0082,1.1e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg23842572,0.076,0.01204,2.5e-10,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg14602222,0.039,0.00852,4.6e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg05575921,-0.036,0.00288,9.7e-36,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg10378348,-0.035,0.0084,2.9e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg21467614,-0.033,0.008,3.7e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg09120938,0.031,0.00766,5.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg20889322,-0.045,0.00962,3.7e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg19098932,-0.043,0.00884,1.2e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg06644428,-0.036,0.00395,1.6e-19,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg14242246,-0.022,0.00472,3.4e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg25605731,-0.054,0.01183,4.3e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg15013801,-0.035,0.00819,1.7e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg08117309,0.021,0.00484,2.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg09465703,-0.042,0.00649,1.3e-10,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg05677062,-0.044,0.01124,9.7e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg25013095,-0.048,0.01039,4.5e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg17287155,-0.045,0.00922,1.4e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg19717773,-0.025,0.00509,9e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
