CpG,Beta,SE,P,StudyID
cg10636246,-0.5,0.099,4.9e-07,Gadd-DA_crp_protein_levels__seqid___4337-49__somascan_protein_measurement
cg13696706,1.14,0.237,1.4e-06,Gadd-DA_crp_protein_levels__seqid___4337-49__somascan_protein_measurement
cg06192883,0.81,0.177,5.2e-06,Gadd-DA_crp_protein_levels__seqid___4337-49__somascan_protein_measurement
cg17501210,-0.69,0.156,9.2e-06,Gadd-DA_crp_protein_levels__seqid___4337-49__somascan_protein_measurement
cg19750657,0.72,0.165,1.4e-05,Gadd-DA_crp_protein_levels__seqid___4337-49__somascan_protein_measurement
cg23172671,0.74,0.172,1.7e-05,Gadd-DA_crp_protein_levels__seqid___4337-49__somascan_protein_measurement
cg15357118,0.91,0.221,3.6e-05,Gadd-DA_crp_protein_levels__seqid___4337-49__somascan_protein_measurement
cg11019088,0.64,0.161,6.6e-05,Gadd-DA_crp_protein_levels__seqid___4337-49__somascan_protein_measurement
cg13165240,0.66,0.164,6.7e-05,Gadd-DA_crp_protein_levels__seqid___4337-49__somascan_protein_measurement
cg02650017,-0.59,0.149,7.1e-05,Gadd-DA_crp_protein_levels__seqid___4337-49__somascan_protein_measurement
cg13781414,-0.78,0.196,7.3e-05,Gadd-DA_crp_protein_levels__seqid___4337-49__somascan_protein_measurement
cg06492706,-1.27,0.322,7.6e-05,Gadd-DA_crp_protein_levels__seqid___4337-49__somascan_protein_measurement
cg02868298,0.47,0.12,8.9e-05,Gadd-DA_crp_protein_levels__seqid___4337-49__somascan_protein_measurement
