CpG,Beta,SE,P,StudyID
cg10761804,-0.072,0.0157,4.5e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg26559804,-0.044,0.0102,1.6e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg02003183,0.059,0.0111,1.1e-07,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg05624954,0.061,0.0132,3.3e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg24704287,-0.068,0.0125,5.3e-08,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg27553457,0.06,0.0116,2.9e-07,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg10755899,0.043,0.0099,1.4e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg00509451,0.088,0.0224,8.4e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg27152890,0.033,0.0065,5.5e-07,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg09816821,0.089,0.0194,4.3e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg20793665,0.063,0.0147,1.6e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg02747254,-0.076,0.0191,6.4e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg12666727,-0.054,0.0111,1.4e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg01602730,-0.063,0.0149,2.3e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg14105458,0.056,0.0115,1.5e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg00139947,0.04,0.0103,8.6e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg00994936,0.089,0.0134,3.2e-11,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg18062721,0.065,0.0138,2.3e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg06381803,0.041,0.0104,8.1e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg27317813,-0.083,0.0207,6.4e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg11183227,0.072,0.0119,2e-09,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg08554257,-0.059,0.0124,1.9e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg23931381,-0.055,0.0114,1.3e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg16284674,0.049,0.0114,1.8e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg10342963,0.055,0.0128,1.7e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg26551200,-0.12,0.0274,2.3e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg03366574,0.047,0.0107,9.9e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg08276042,-0.11,0.0233,6.3e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg03574306,0.058,0.0138,3e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg04816311,0.087,0.0147,4.1e-09,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg02261541,-0.075,0.0181,3e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg15971496,0.055,0.0126,1e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg11969813,0.061,0.015,5.2e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg09993145,0.077,0.0159,1.4e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
cg17820878,0.078,0.0152,2.7e-07,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Fully-adjusted_model
