CpG,Beta,SE,P,StudyID
cg14838017,-0.37,0.082,5.4e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg12035103,0.3,0.064,3e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg02835301,0.26,0.055,2.3e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg06654118,0.25,0.056,7.3e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg26330987,-0.28,0.062,3.8e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg06710259,0.25,0.055,7.7e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg02389555,-0.27,0.06,4.4e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg12485556,0.27,0.06,8.1e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg13649242,-0.45,0.093,1.5e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg16518614,0.24,0.053,5.5e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg05686445,0.26,0.059,7.8e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg02539754,0.33,0.073,4.5e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg26599989,0.27,0.06,9.1e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg20214067,-0.35,0.075,3e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg21481275,0.3,0.066,6.8e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg10909192,0.3,0.06,4.9e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg23702848,0.31,0.068,6.8e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg22908922,0.29,0.06,9.9e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg00938305,-0.29,0.064,7.1e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg15137213,0.31,0.063,1.1e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg20669414,0.27,0.055,5.5e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg00670942,0.25,0.053,2.3e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg26927807,0.29,0.065,8.6e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg26296574,0.34,0.074,4.6e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg18740175,0.29,0.064,5.4e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg03102788,0.26,0.058,9.6e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
cg03738656,0.28,0.059,2.6e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas
