CpG,Beta,SE,P,StudyID
cg17724687,0.283,0.0627,6.5e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg08926642,0.283,0.06,2.4e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg26227957,0.525,0.1115,2.5e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg12065228,-0.369,0.0816,6e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg14220251,-0.344,0.0772,8e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg09641127,0.414,0.0935,9.7e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg24746938,0.406,0.0804,4.4e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg09610644,0.337,0.0757,8.5e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg00139242,0.375,0.0791,2.2e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg24160243,0.431,0.0815,1.2e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg23597162,0.591,0.1059,2.4e-08,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg13924998,0.474,0.1032,4.4e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg19683780,0.554,0.092,1.7e-09,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg02059849,-0.395,0.0831,2e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg14037346,0.355,0.0759,2.9e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg14283140,0.437,0.0821,1e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg22959742,0.432,0.0905,1.9e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg23599026,-0.476,0.0989,1.5e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg04036920,0.747,0.1228,1.2e-09,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg00464927,0.381,0.0849,7.2e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg25790955,0.392,0.0883,9.1e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg15701612,-0.407,0.0822,7.5e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg19942083,-0.528,0.0837,2.8e-10,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg08660562,-0.325,0.0715,5.6e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg16085171,0.328,0.0723,5.9e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg12181028,0.721,0.1526,2.3e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg06937357,-0.334,0.0739,6.3e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg06158227,0.347,0.0727,1.9e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg27211576,-0.339,0.0684,7.1e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg05554494,0.653,0.1353,1.4e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg04540493,0.619,0.1241,6.1e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg05425326,0.553,0.1169,2.2e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg08080174,0.366,0.0766,1.8e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg02212339,0.38,0.0827,4.3e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg07723258,0.43,0.0862,6.1e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg22515589,-0.31,0.0676,4.6e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg12996171,-0.344,0.0748,4.3e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg06773488,0.453,0.0955,2.1e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg17728125,-0.308,0.0687,7.5e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg07573872,-0.318,0.0649,9.3e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg17944885,0.568,0.0737,1.2e-14,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg10827767,0.562,0.1221,4.2e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg25364972,-0.042,0.0073,1.4e-08,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg20401130,-0.023,0.0049,2.2e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg24746938,-0.027,0.0052,2e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg19497511,-0.025,0.0046,3.4e-08,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg22635676,0.018,0.004,9.1e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg26718213,0.018,0.004,6.1e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg27230009,-0.038,0.0074,3.1e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg25221975,0.022,0.0047,1.9e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg15872079,-0.023,0.0046,3.5e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg24791666,-0.043,0.0073,3.8e-09,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg03540589,-0.022,0.0044,4.2e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg00501876,-0.044,0.0056,3.6e-15,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg20732160,-0.026,0.0052,3.6e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg23549385,-0.025,0.0057,7.7e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg13641778,-0.03,0.0065,2.6e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg06189394,-0.022,0.0044,6.4e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg04514392,0.031,0.0054,1.4e-08,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg18990407,0.022,0.0045,1.4e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg09610644,-0.023,0.005,2.4e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg05470179,0.022,0.005,9.9e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg08763102,-0.027,0.0051,1.5e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg04460609,-0.028,0.0049,7.9e-09,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg16855355,-0.028,0.0049,1.5e-08,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg05986288,0.027,0.006,1e-05,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg11010552,-0.037,0.0079,3.3e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg16492597,-0.034,0.0077,9.9e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg18722504,-0.021,0.0047,1e-05,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg26547816,-0.045,0.0072,6.3e-10,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg05201300,-0.024,0.0051,1.9e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg15197657,0.024,0.0054,5.6e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg14103336,-0.025,0.0057,9.7e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg05701418,0.02,0.0043,4.5e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg07333021,-0.052,0.0088,3.4e-09,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg12649238,-0.043,0.0096,6.9e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg14029001,-0.029,0.0058,5.3e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg09823543,0.025,0.0055,7.5e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg00920254,-0.029,0.0059,1.2e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg16095551,-0.034,0.0074,4.9e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg26701785,0.02,0.0043,3.5e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg05987787,0.021,0.0044,2e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg10987503,0.033,0.006,6.5e-08,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg03664589,0.023,0.0052,7.7e-06,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
cg08796391,-0.029,0.0058,5e-07,29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_prevalent_ckd_ewas
