CpG,Beta,SE,P,StudyID
cg00574958,-2.67,0.35,2.5e-14,31197173_Liu-J_fasting_glucose_base
cg06690548,-1.98,0.28,1.8e-12,31197173_Liu-J_fasting_glucose_base
cg11024682,1.87,0.29,1.9e-10,31197173_Liu-J_fasting_glucose_base
cg18881723,1.16,0.19,7.2e-10,31197173_Liu-J_fasting_glucose_base
cg03234777,1.28,0.22,4.9e-09,31197173_Liu-J_fasting_glucose_base
cg07119168,-1.64,0.28,7.2e-09,31197173_Liu-J_fasting_glucose_base
cg15161691,-1.17,0.21,2e-08,31197173_Liu-J_fasting_glucose_base
cg06500161,1.54,0.28,2.6e-08,31197173_Liu-J_fasting_glucose_base
cg06229674,-1.62,0.3,4.6e-08,31197173_Liu-J_fasting_glucose_base
cg26845138,-1.83,0.34,4.9e-08,31197173_Liu-J_fasting_glucose_base
cg10502149,-1.41,0.26,6e-08,31197173_Liu-J_fasting_glucose_base
cg07184627,-2,0.37,6.6e-08,31197173_Liu-J_fasting_glucose_base
cg20657709,-1.42,0.26,7.5e-08,31197173_Liu-J_fasting_glucose_base
cg14688299,-1.05,0.2,9.3e-08,31197173_Liu-J_fasting_glucose_base
cg06117093,1,0.19,1e-07,31197173_Liu-J_fasting_glucose_base
cg04392554,-0.74,0.14,1.4e-07,31197173_Liu-J_fasting_glucose_base
cg22354132,-1.39,0.27,1.5e-07,31197173_Liu-J_fasting_glucose_base
cg18247172,-1.05,0.2,1.7e-07,31197173_Liu-J_fasting_glucose_base
cg08200851,-2.13,0.41,2e-07,31197173_Liu-J_fasting_glucose_base
cg08087047,-1.35,0.26,2.1e-07,31197173_Liu-J_fasting_glucose_base
cg01710351,1.29,0.25,2.4e-07,31197173_Liu-J_fasting_glucose_base
cg14663208,-1.25,0.24,2.4e-07,31197173_Liu-J_fasting_glucose_base
cg24604214,-1.59,0.31,2.7e-07,31197173_Liu-J_fasting_glucose_base
cg01500140,-1.2,0.23,2.7e-07,31197173_Liu-J_fasting_glucose_base
cg14327394,-1.35,0.26,2.9e-07,31197173_Liu-J_fasting_glucose_base
cg22917487,-1.32,0.26,3.5e-07,31197173_Liu-J_fasting_glucose_base
cg22442430,1.32,0.26,3.8e-07,31197173_Liu-J_fasting_glucose_base
cg01913188,1.18,0.23,3.9e-07,31197173_Liu-J_fasting_glucose_base
cg18800235,-1.08,0.21,4.9e-07,31197173_Liu-J_fasting_glucose_base
cg09471611,-1.36,0.27,5.7e-07,31197173_Liu-J_fasting_glucose_base
cg12011479,-1.22,0.24,5.7e-07,31197173_Liu-J_fasting_glucose_base
cg22014398,1.11,0.22,7.1e-07,31197173_Liu-J_fasting_glucose_base
cg19693031,-0.95,0.19,7.6e-07,31197173_Liu-J_fasting_glucose_base
cg02006203,-2.27,0.46,8.1e-07,31197173_Liu-J_fasting_glucose_base
cg27309871,-1.27,0.26,8.7e-07,31197173_Liu-J_fasting_glucose_base
cg23655939,-1.55,0.32,8.8e-07,31197173_Liu-J_fasting_glucose_base
cg00004089,-1.59,0.33,9.5e-07,31197173_Liu-J_fasting_glucose_base
cg26678144,-1.29,0.26,9.6e-07,31197173_Liu-J_fasting_glucose_base
cg03907390,1.56,0.32,9.7e-07,31197173_Liu-J_fasting_glucose_base
cg07930874,-1.68,0.34,1e-06,31197173_Liu-J_fasting_glucose_base
cg00259518,-1.55,0.32,1e-06,31197173_Liu-J_fasting_glucose_base
cg20849150,-1.51,0.31,1.2e-06,31197173_Liu-J_fasting_glucose_base
cg21500092,-1.54,0.32,1.3e-06,31197173_Liu-J_fasting_glucose_base
cg18310515,-1.18,0.24,1.3e-06,31197173_Liu-J_fasting_glucose_base
cg13917614,-0.66,0.14,1.4e-06,31197173_Liu-J_fasting_glucose_base
cg12255554,-1.28,0.26,1.4e-06,31197173_Liu-J_fasting_glucose_base
cg21254939,1.06,0.22,1.5e-06,31197173_Liu-J_fasting_glucose_base
cg00290023,1.34,0.28,1.5e-06,31197173_Liu-J_fasting_glucose_base
cg01132568,-1.36,0.28,1.6e-06,31197173_Liu-J_fasting_glucose_base
cg06653632,-1.11,0.23,1.6e-06,31197173_Liu-J_fasting_glucose_base
cg11746924,-1.3,0.27,1.6e-06,31197173_Liu-J_fasting_glucose_base
cg02484476,-1.07,0.22,1.7e-06,31197173_Liu-J_fasting_glucose_base
cg05023114,1.23,0.26,1.8e-06,31197173_Liu-J_fasting_glucose_base
cg13733008,-1.58,0.33,1.8e-06,31197173_Liu-J_fasting_glucose_base
cg08358263,-1.49,0.31,2e-06,31197173_Liu-J_fasting_glucose_base
cg23025459,-0.72,0.15,2.1e-06,31197173_Liu-J_fasting_glucose_base
cg07986385,1.35,0.29,2.1e-06,31197173_Liu-J_fasting_glucose_base
cg23521905,-1.05,0.22,2.2e-06,31197173_Liu-J_fasting_glucose_base
