"CpG","Beta","StudyID"
"cg01024458",0.992,"Neutro"
"cg11661493",0.962,"Neutro"
"cg21596498",0.976,"Neutro"
"cg05205074",0.979,"Neutro"
"cg17232476",0.98,"Neutro"
"cg14936008",0.983,"Neutro"
"cg05579731",0.966,"Neutro"
"cg17995557",0.969,"Neutro"
"cg15035590",0.986,"Neutro"
"cg03248292",0.927,"Neutro"
"cg00760938",0.949,"Neutro"
"cg21743182",0.959,"Neutro"
"cg26552743",0.932,"Neutro"
"cg22212560",0.956,"Neutro"
"cg20602300",0.977,"Neutro"
"cg06889975",0.945,"Neutro"
"cg15532942",0.958,"Neutro"
"cg02665297",0.972,"Neutro"
"cg16148346",0.959,"Neutro"
"cg22498365",0.97,"Neutro"
"cg27565966",0.943,"Neutro"
"cg18184053",0.917,"Neutro"
"cg26810157",0.92,"Neutro"
"cg24466100",0.933,"Neutro"
"cg07597976",0.88,"Neutro"
"cg12976793",0.98,"Neutro"
"cg14060402",0.967,"Neutro"
"cg26795340",0.918,"Neutro"
"cg15287850",0.927,"Neutro"
"cg09469986",0.977,"Neutro"
"cg04828493",0.981,"Neutro"
"cg10147394",0.952,"Neutro"
"cg03980424",0.984,"Neutro"
"cg16185947",0.905,"Neutro"
"cg02582213",0.967,"Neutro"
"cg18067520",0.879,"Neutro"
"cg18590995",0.848,"Neutro"
"cg08939052",0.952,"Neutro"
"cg13915752",0.948,"Neutro"
"cg26160564",0.96,"Neutro"
"cg01869288",0.95,"Neutro"
"cg06963205",0.928,"Neutro"
"cg23730277",0.959,"Neutro"
"cg11160673",0.933,"Neutro"
"cg11193201",0.91,"Neutro"
"cg00226923",0.946,"Neutro"
"cg20666585",0.956,"Neutro"
"cg06202778",0.965,"Neutro"
"cg26934362",0.949,"Neutro"
"cg21634628",0.971,"Neutro"
"cg02384859",0.95,"Neutro"
"cg02150910",0.951,"Neutro"
"cg20657709",0.96,"Neutro"
"cg03538296",0.985,"Neutro"
"cg27309871",0.97,"Neutro"
"cg21474838",0.972,"Neutro"
"cg01940139",0.966,"Neutro"
"cg14301562",0.894,"Neutro"
"cg18672716",0.891,"Neutro"
"cg26227465",0.939,"Neutro"
"cg13613174",0.888,"Neutro"
"cg09261289",0.973,"Neutro"
"cg15241779",0.966,"Neutro"
"cg20460771",0.909,"Neutro"
"cg05224770",0.938,"Neutro"
"cg13617280",0.845,"Neutro"
"cg10628126",0.975,"Neutro"
"cg13828440",0.936,"Neutro"
"cg12996622",0.892,"Neutro"
"cg26012482",0.951,"Neutro"
"cg14384416",0.945,"Neutro"
"cg22749642",0.924,"Neutro"
"cg18310515",0.947,"Neutro"
"cg17766305",0.059,"Neutro"
"cg18461635",0.944,"Neutro"
"cg21333217",0.972,"Neutro"
"cg02663352",0.956,"Neutro"
"cg07065759",0.015,"Neutro"
"cg11335172",0.978,"Neutro"
"cg16212145",0.949,"Neutro"
"cg20959189",0.954,"Neutro"
"cg02902412",0.952,"Neutro"
"cg19828970",0.04,"Neutro"
"cg01726890",0.883,"Neutro"
"cg00366435",0.963,"Neutro"
"cg13468685",0.053,"Neutro"
"cg26166854",0.961,"Neutro"
"cg06915826",0.963,"Neutro"
"cg11848483",0.969,"Neutro"
"cg07679948",0.951,"Neutro"
"cg02380585",0.037,"Neutro"
"cg12465678",0.058,"Neutro"
"cg01874152",0.976,"Neutro"
"cg07713946",0.963,"Neutro"
"cg10240150",0.942,"Neutro"
"cg09885622",0.181,"Neutro"
"cg02661764",0.898,"Neutro"
"cg07837085",0.041,"Neutro"
"cg07545925",0.956,"Neutro"
"cg10782923",0.931,"Neutro"
"cg13651908",0.922,"Neutro"
"cg16452866",0.957,"Neutro"
"cg04244970",0.033,"Neutro"
"cg24527636",0.906,"Neutro"
"cg05074138",0.932,"Neutro"
"cg08884752",0.851,"Neutro"
"cg20661080",0.958,"Neutro"
