"CpG","Beta","StudyID"
"cg01024458",0.969,"CD4T"
"cg11661493",0.971,"CD4T"
"cg21596498",0.989,"CD4T"
"cg05205074",0.967,"CD4T"
"cg17232476",0.969,"CD4T"
"cg14936008",0.98,"CD4T"
"cg05579731",0.953,"CD4T"
"cg17995557",0.974,"CD4T"
"cg15035590",0.986,"CD4T"
"cg03248292",0.956,"CD4T"
"cg00760938",0.964,"CD4T"
"cg21743182",0.955,"CD4T"
"cg26552743",0.964,"CD4T"
"cg22212560",0.978,"CD4T"
"cg20602300",0.983,"CD4T"
"cg06889975",0.979,"CD4T"
"cg15532942",0.956,"CD4T"
"cg02665297",0.97,"CD4T"
"cg16148346",0.969,"CD4T"
"cg22498365",0.942,"CD4T"
"cg27565966",0.967,"CD4T"
"cg18184053",0.957,"CD4T"
"cg26810157",0.974,"CD4T"
"cg24466100",0.916,"CD4T"
"cg07597976",0.947,"CD4T"
"cg12976793",0.977,"CD4T"
"cg14060402",0.977,"CD4T"
"cg26795340",0.948,"CD4T"
"cg15287850",0.952,"CD4T"
"cg09469986",0.966,"CD4T"
"cg04828493",0.97,"CD4T"
"cg10147394",0.926,"CD4T"
"cg03980424",0.943,"CD4T"
"cg16185947",0.967,"CD4T"
"cg02582213",0.964,"CD4T"
"cg18067520",0.967,"CD4T"
"cg18590995",0.943,"CD4T"
"cg08939052",0.94,"CD4T"
"cg13915752",0.971,"CD4T"
"cg26160564",0.918,"CD4T"
"cg01869288",0.915,"CD4T"
"cg06963205",0.902,"CD4T"
"cg23730277",0.98,"CD4T"
"cg11160673",0.964,"CD4T"
"cg11193201",0.943,"CD4T"
"cg00226923",0.94,"CD4T"
"cg20666585",0.951,"CD4T"
"cg06202778",0.957,"CD4T"
"cg26934362",0.851,"CD4T"
"cg21634628",0.87,"CD4T"
"cg02384859",0.926,"CD4T"
"cg02150910",0.925,"CD4T"
"cg20657709",0.968,"CD4T"
"cg03538296",0.983,"CD4T"
"cg27309871",0.966,"CD4T"
"cg21474838",0.885,"CD4T"
"cg01940139",0.91,"CD4T"
"cg14301562",0.936,"CD4T"
"cg18672716",0.907,"CD4T"
"cg26227465",0.756,"CD4T"
"cg13613174",0.789,"CD4T"
"cg09261289",0.972,"CD4T"
"cg15241779",0.945,"CD4T"
"cg20460771",0.874,"CD4T"
"cg05224770",0.694,"CD4T"
"cg13617280",0.929,"CD4T"
"cg10628126",0.875,"CD4T"
"cg13828440",0.934,"CD4T"
"cg12996622",0.859,"CD4T"
"cg26012482",0.817,"CD4T"
"cg14384416",0.928,"CD4T"
"cg22749642",0.911,"CD4T"
"cg18310515",0.89,"CD4T"
"cg17766305",0.516,"CD4T"
