CpG,Beta,SE,P,StudyID
cg02019444,-0.048,0.01113,1.8e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg05575921,-0.026,0.0065,8.3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg09911083,0.082,0.02026,5.3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg01487433,0.04,0.0083,1.3e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg14604065,-0.037,0.0091,4.4e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg07598385,-0.056,0.01384,5.5e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg23188579,-0.041,0.01003,4.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg11461670,-0.046,0.01085,2.7e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg02700626,0.035,0.0086,5.1e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg02504211,0.058,0.0121,1.6e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg19001909,0.049,0.01167,2.7e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg09099830,0.049,0.01182,3.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg00116430,0.039,0.00827,1.8e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg27435646,0.076,0.01804,2.3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg09674170,0.026,0.00617,3.6e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg20403541,-0.036,0.00906,7e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg13375457,-0.06,0.01214,8.9e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg26535158,-0.08,0.01996,5.7e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg17107156,0.033,0.00812,5e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg05569131,-0.074,0.01817,4.6e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg15511120,-0.069,0.0168,4.4e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg07917901,-0.07,0.01295,7.2e-08,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg14520947,-0.051,0.01132,6.4e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg16151538,-0.063,0.01576,6.4e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg05599723,-0.063,0.01552,5.7e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
cg17679427,-0.056,0.0128,1.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Fully-adjusted_model
