CpG,Beta,SE,P,StudyID
cg00376553,-0.026,0.00611,2.5e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg11385013,-0.019,0.00467,3.6e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg11564042,-0.027,0.00681,6e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg18347642,0.023,0.00515,7.9e-06,Robert-F-Hillary_Incident_COPD_Basic_model
cg02570527,-0.025,0.0058,1.7e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg26872137,0.019,0.00317,9e-10,Robert-F-Hillary_Incident_COPD_Basic_model
cg20870000,-0.025,0.00479,1.8e-07,Robert-F-Hillary_Incident_COPD_Basic_model
cg23036452,0.041,0.00622,3.9e-11,Robert-F-Hillary_Incident_COPD_Basic_model
cg03408556,0.024,0.00376,3.6e-10,Robert-F-Hillary_Incident_COPD_Basic_model
cg11539780,0.024,0.00331,2.5e-13,Robert-F-Hillary_Incident_COPD_Basic_model
cg06915193,-0.035,0.00493,2.2e-12,Robert-F-Hillary_Incident_COPD_Basic_model
cg07675334,-0.03,0.00627,1.2e-06,Robert-F-Hillary_Incident_COPD_Basic_model
cg12172057,0.013,0.00215,8.2e-10,Robert-F-Hillary_Incident_COPD_Basic_model
cg26422488,0.014,0.00235,8.8e-09,Robert-F-Hillary_Incident_COPD_Basic_model
cg14655855,0.021,0.00369,9.1e-09,Robert-F-Hillary_Incident_COPD_Basic_model
cg13558754,0.028,0.00529,1.3e-07,Robert-F-Hillary_Incident_COPD_Basic_model
cg19946085,0.034,0.00583,7e-09,Robert-F-Hillary_Incident_COPD_Basic_model
cg20533952,0.024,0.00405,6.2e-09,Robert-F-Hillary_Incident_COPD_Basic_model
cg02623400,0.029,0.00393,1.1e-13,Robert-F-Hillary_Incident_COPD_Basic_model
cg03679755,0.015,0.00371,5e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg11961495,-0.045,0.0056,1.1e-15,Robert-F-Hillary_Incident_COPD_Basic_model
cg12307787,0.021,0.00468,5.3e-06,Robert-F-Hillary_Incident_COPD_Basic_model
cg24822696,0.021,0.00298,2e-12,Robert-F-Hillary_Incident_COPD_Basic_model
cg00884093,0.022,0.00367,3.5e-09,Robert-F-Hillary_Incident_COPD_Basic_model
cg05901765,0.021,0.00352,1.4e-09,Robert-F-Hillary_Incident_COPD_Basic_model
cg18653451,0.014,0.00336,1.6e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg22082347,-0.024,0.00382,5.7e-10,Robert-F-Hillary_Incident_COPD_Basic_model
cg02446647,0.03,0.00625,1.7e-06,Robert-F-Hillary_Incident_COPD_Basic_model
cg25644556,0.019,0.00426,5.1e-06,Robert-F-Hillary_Incident_COPD_Basic_model
cg03738384,-0.019,0.00408,3.1e-06,Robert-F-Hillary_Incident_COPD_Basic_model
cg14486338,0.015,0.00353,1.3e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg15447787,0.022,0.00334,2.6e-11,Robert-F-Hillary_Incident_COPD_Basic_model
cg23062112,0.019,0.0042,4e-06,Robert-F-Hillary_Incident_COPD_Basic_model
cg07519816,0.016,0.00321,4.3e-07,Robert-F-Hillary_Incident_COPD_Basic_model
cg03696599,0.022,0.00517,2.7e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg17794524,-0.032,0.0058,4.1e-08,Robert-F-Hillary_Incident_COPD_Basic_model
cg14230666,0.015,0.00318,2.3e-06,Robert-F-Hillary_Incident_COPD_Basic_model
cg18844382,0.031,0.0045,7.5e-12,Robert-F-Hillary_Incident_COPD_Basic_model
cg07883600,0.026,0.00484,1.2e-07,Robert-F-Hillary_Incident_COPD_Basic_model
cg02429398,-0.03,0.00651,5.2e-06,Robert-F-Hillary_Incident_COPD_Basic_model
cg13691247,0.017,0.00327,3.4e-07,Robert-F-Hillary_Incident_COPD_Basic_model
cg00945209,-0.031,0.00648,1.7e-06,Robert-F-Hillary_Incident_COPD_Basic_model
cg00573770,-0.018,0.00342,2e-07,Robert-F-Hillary_Incident_COPD_Basic_model
cg05191076,0.021,0.00261,3.6e-15,Robert-F-Hillary_Incident_COPD_Basic_model
cg22625098,-0.04,0.01014,8e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg22490254,0.031,0.00456,5.6e-12,Robert-F-Hillary_Incident_COPD_Basic_model
cg00839129,-0.025,0.00621,4.2e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg20032789,-0.04,0.00398,1.2e-23,Robert-F-Hillary_Incident_COPD_Basic_model
cg19093370,0.012,0.00257,7.2e-06,Robert-F-Hillary_Incident_COPD_Basic_model
cg12103219,0.017,0.0036,3.8e-06,Robert-F-Hillary_Incident_COPD_Basic_model
cg09282500,-0.02,0.00501,6.1e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg10836110,0.02,0.00424,2.1e-06,Robert-F-Hillary_Incident_COPD_Basic_model
cg05277504,-0.017,0.00409,4.4e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg11324650,-0.015,0.00363,2.4e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg24239148,0.021,0.0032,3.4e-11,Robert-F-Hillary_Incident_COPD_Basic_model
cg05799169,-0.022,0.00551,9e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg04117801,-0.032,0.00526,2.1e-09,Robert-F-Hillary_Incident_COPD_Basic_model
cg25996688,-0.022,0.00411,1.4e-07,Robert-F-Hillary_Incident_COPD_Basic_model
cg10761804,-0.053,0.00563,5e-21,Robert-F-Hillary_Incident_COPD_Basic_model
cg06522681,-0.016,0.00413,9e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg14689219,0.017,0.00398,1.2e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg19343809,-0.024,0.006,5.1e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg23695504,0.023,0.0031,2.6e-13,Robert-F-Hillary_Incident_COPD_Basic_model
cg03732020,0.033,0.00812,4.4e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg24665290,0.02,0.00299,3.4e-11,Robert-F-Hillary_Incident_COPD_Basic_model
cg07021777,-0.026,0.00639,4.1e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg12332083,0.018,0.00317,1.9e-08,Robert-F-Hillary_Incident_COPD_Basic_model
cg05848863,0.018,0.00348,1.9e-07,Robert-F-Hillary_Incident_COPD_Basic_model
cg17220933,-0.031,0.00791,7e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg07963234,0.022,0.00434,4.4e-07,Robert-F-Hillary_Incident_COPD_Basic_model
cg14509967,-0.018,0.00317,7.5e-09,Robert-F-Hillary_Incident_COPD_Basic_model
cg13184823,0.02,0.00386,3.9e-07,Robert-F-Hillary_Incident_COPD_Basic_model
cg01898661,0.019,0.00311,2.4e-09,Robert-F-Hillary_Incident_COPD_Basic_model
cg04739647,0.023,0.00407,2.8e-08,Robert-F-Hillary_Incident_COPD_Basic_model
cg21517947,0.024,0.00407,4.2e-09,Robert-F-Hillary_Incident_COPD_Basic_model
cg26229752,0.0077,0.00198,9.1e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg27115863,-0.031,0.006,2.8e-07,Robert-F-Hillary_Incident_COPD_Basic_model
cg12756396,0.03,0.00448,3.2e-11,Robert-F-Hillary_Incident_COPD_Basic_model
cg04401986,0.021,0.00492,1.6e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg19206040,0.025,0.00398,2.1e-10,Robert-F-Hillary_Incident_COPD_Basic_model
cg09258813,0.014,0.0033,3.1e-05,Robert-F-Hillary_Incident_COPD_Basic_model
cg03767970,0.026,0.00506,3.8e-07,Robert-F-Hillary_Incident_COPD_Basic_model
cg06401021,0.027,0.00398,2.7e-11,Robert-F-Hillary_Incident_COPD_Basic_model
cg13279673,0.028,0.00517,7.4e-08,Robert-F-Hillary_Incident_COPD_Basic_model
cg25796439,0.02,0.00233,1.2e-17,Robert-F-Hillary_Incident_COPD_Basic_model
cg19940077,0.016,0.00406,5.7e-05,Robert-F-Hillary_Incident_COPD_Basic_model
