CpG,Beta,SE,P,StudyID
cg08709672,-4e-04,6e-05,3.39e-10,26826776_serum_cotinine_discovery
cg09935388,-0.001,0.00015,2.51e-11,26826776_serum_cotinine_discovery
cg18316974,-2e-04,4e-05,7.51e-08,26826776_serum_cotinine_discovery
cg20295214,-3e-04,5e-05,9.09e-09,26826776_serum_cotinine_discovery
cg21140898,-7e-04,0.00012,8.85e-09,26826776_serum_cotinine_discovery
cg25189904,-9e-04,0.00014,2.23e-10,26826776_serum_cotinine_discovery
cg03329539,-5e-04,9e-05,9.77e-08,26826776_serum_cotinine_discovery
cg06644428,-4e-04,7e-05,4.87e-08,26826776_serum_cotinine_discovery
cg21566642,-0.0017,0.00016,1.5e-25,26826776_serum_cotinine_discovery
cg18642234,-3e-04,5e-05,4.44e-09,26826776_serum_cotinine_discovery
cg19859270,-2e-04,4e-05,1.22e-08,26826776_serum_cotinine_discovery
cg05575921,-0.0027,0.00019,4.57e-44,26826776_serum_cotinine_discovery
cg11554391,-3e-04,5e-05,2.67e-09,26826776_serum_cotinine_discovery
cg14580211,-5e-04,9e-05,8.03e-09,26826776_serum_cotinine_discovery
cg14817490,-8e-04,0.00011,7.7e-13,26826776_serum_cotinine_discovery
cg21161138,-7e-04,9e-05,7.54e-15,26826776_serum_cotinine_discovery
cg23576855,-0.0027,0.00022,2.99e-35,26826776_serum_cotinine_discovery
cg23916896,-7e-04,0.00012,4.18e-09,26826776_serum_cotinine_discovery
cg25648203,-6e-04,8e-05,3.53e-15,26826776_serum_cotinine_discovery
cg26703534,-7e-04,1e-04,2.57e-11,26826776_serum_cotinine_discovery
cg06126421,-0.001,0.00018,1.56e-08,26826776_serum_cotinine_discovery
cg15342087,-4e-04,5e-05,1.42e-17,26826776_serum_cotinine_discovery
cg02451831,-4e-04,7e-05,1.12e-08,26826776_serum_cotinine_discovery
cg22132788,5e-04,8e-05,2.31e-09,26826776_serum_cotinine_discovery
cg25949550,-2e-04,3e-05,1.99e-11,26826776_serum_cotinine_discovery
cg14316231,-3e-04,6e-05,7.9e-08,26826776_serum_cotinine_discovery
cg11660018,-6e-04,9e-05,1.11e-10,26826776_serum_cotinine_discovery
cg13751113,-5e-04,9e-05,1.03e-08,26826776_serum_cotinine_discovery
cg21611682,-4e-04,7e-05,7.78e-09,26826776_serum_cotinine_discovery
cg23771366,-4e-04,7e-05,1.24e-09,26826776_serum_cotinine_discovery
cg02583484,-4e-04,7e-05,2.21e-08,26826776_serum_cotinine_discovery
cg05284742,-4e-04,6e-05,5.98e-10,26826776_serum_cotinine_discovery
cg00310412,-4e-04,7e-05,7.06e-08,26826776_serum_cotinine_discovery
cg15022400,-4e-04,7e-05,8.65e-08,26826776_serum_cotinine_discovery
cg23161492,-6e-04,9e-05,3.1e-12,26826776_serum_cotinine_discovery
cg05668853,-4e-04,7e-05,6.35e-08,26826776_serum_cotinine_discovery
cg03636183,-0.0014,0.00017,2.53e-17,26826776_serum_cotinine_discovery
cg07339236,-4e-04,7e-05,4.06e-09,26826776_serum_cotinine_discovery
