CpG,Beta,SE,P,StudyID
cg05277504,-0.051,0.0116,1.1e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg24173182,0.06,0.0149,6.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg23479730,0.077,0.0197,8.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg21322436,-0.07,0.0168,3.5e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg12126344,-0.1,0.022,3.3e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg25712005,-0.032,0.0082,7e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg21936959,-0.055,0.0139,6.8e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg14179389,-0.056,0.0092,8.1e-10,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg24704287,-0.055,0.0124,1.1e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg10176463,0.059,0.0148,6.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg21854952,0.057,0.0142,5.5e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg24750513,-0.053,0.0128,3.7e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg16037711,-0.094,0.0187,5.8e-07,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg06598836,0.029,0.0074,9.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg14602222,0.062,0.0137,6e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg05575921,-0.039,0.0046,5.4e-17,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg20210482,0.049,0.0109,8.2e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg21644011,-0.09,0.019,2.4e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg02616769,-0.068,0.0169,6.1e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg04018738,0.047,0.0087,7.8e-08,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg06644428,-0.043,0.0063,1.7e-11,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg12170787,-0.11,0.0259,2.8e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg05677062,-0.076,0.018,2.4e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg20454518,0.046,0.0117,9.1e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg09276842,-0.044,0.0113,9.7e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg18238374,0.038,0.0095,6.6e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg18146737,-0.024,0.0043,1.6e-08,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg13594903,-0.059,0.014,2.5e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg08097614,-0.088,0.0142,5.1e-10,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg14032732,0.042,0.0101,4.3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg16675054,-0.043,0.0096,7.7e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg04716530,-0.081,0.0161,5.8e-07,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg06829686,0.065,0.0134,1.3e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg08136809,0.04,0.0103,8.8e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg23079012,-0.043,0.0065,5.4e-11,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg08554257,-0.056,0.0125,7.3e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg06357748,0.058,0.0113,2.7e-07,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg20556803,0.06,0.0152,7.6e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg21140898,-0.042,0.0108,9.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg16987524,0.053,0.0136,8.6e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg13155421,-0.074,0.0176,2.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg03366574,0.043,0.0109,9.1e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg00911794,0.047,0.0102,4.4e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg06015525,0.074,0.0188,8.3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg18395917,0.038,0.0097,8.5e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg07250758,0.043,0.0091,2.4e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg13193840,-0.095,0.015,2.2e-10,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg27586885,-0.054,0.0138,8.3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg07573872,-0.085,0.0145,5.3e-09,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg17820878,0.067,0.0155,1.4e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg09171692,0.098,0.0234,2.7e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
cg13434411,0.054,0.0134,6.1e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Basic_model
