CpG,Beta,SE,P,StudyID
cg23036452,0.053,0.0135,8.4e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg16705273,-0.041,0.0103,7.6e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg04328477,0.044,0.0097,6.2e-06,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg26354221,0.064,0.0127,4.8e-07,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg14374799,0.056,0.0132,2.7e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg02003183,0.047,0.0085,3.6e-08,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg23247068,0.046,0.0117,8.9e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg02474116,0.039,0.0097,5.8e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg14728380,0.043,0.0107,5.8e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg25283432,0.034,0.0084,4.6e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg27152890,0.02,0.0051,7.5e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg25135457,0.044,0.0112,8.2e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg05575921,-0.019,0.0036,9.2e-08,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg20793665,0.059,0.0116,3.9e-07,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg18305324,0.082,0.0188,1.5e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg21553145,0.047,0.0121,8.9e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg18588768,0.054,0.0133,4.7e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg09120938,0.04,0.0095,2.2e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg06419846,0.05,0.0103,1.6e-06,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg20889322,-0.058,0.0119,8.8e-07,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg04212926,0.043,0.0098,1.4e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg12170787,-0.078,0.0199,9.2e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg06652632,0.053,0.0119,7.9e-06,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg00994936,0.046,0.0106,1.3e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg03604011,0.033,0.0079,3.1e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg11183227,0.042,0.0093,7.1e-06,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg23079012,-0.025,0.005,7.2e-07,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
cg19137806,0.07,0.0146,1.4e-06,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Basic_model
