CpG,Beta,SE,P,StudyID
cg16521454,-0.74,0.17,2.3e-05,Battram-T_hip_total_bone_mineral_density
cg18899777,-0.75,0.19,9.3e-05,Battram-T_hip_total_bone_mineral_density
cg23855989,0.91,0.23,8.5e-05,Battram-T_hip_total_bone_mineral_density
cg00841725,0.64,0.16,6.3e-05,Battram-T_hip_total_bone_mineral_density
cg27560367,0.87,0.21,3.2e-05,Battram-T_hip_total_bone_mineral_density
cg07890839,-0.81,0.2,7.2e-05,Battram-T_hip_total_bone_mineral_density
cg00402068,0.9,0.22,4.2e-05,Battram-T_hip_total_bone_mineral_density
cg08537367,0.76,0.19,7.1e-05,Battram-T_hip_total_bone_mineral_density
cg12554634,-0.96,0.24,9.6e-05,Battram-T_hip_total_bone_mineral_density
cg06500161,1.01,0.25,5.9e-05,Battram-T_hip_total_bone_mineral_density
