CD8T	CD4T	NK	Bcell	Mono	Neu
cg08769189	0.197000439067314	0.674455911985427	0.522149534103186	0.900692618712148	0.821873453670497	0.695539325919102
cg07661835	0.104790283563155	0.452628522423561	0.888456128578552	0.890842509456149	0.902519163528993	0.889424040737602
cg00219921	0.134970268571922	0.815785600318211	0.925816777110599	0.954099303272658	0.946379181765296	0.940595319554023
cg13468685	0.653569728528631	0.914619663987169	0.075612491190186	0.173302218356752	0.0354060065529759	0.0340762823270071
cg04329870	0.246223535047	0.852920764205208	0.869674754858274	0.899911025857632	0.90301116809479	0.909020096313314
cg14085952	0.753794176845628	0.226285051620541	0.903323438974507	0.745284306028783	0.806207269914275	0.908709101948785
cg09318840	0.151780868078753	0.621933553500072	0.468747825923428	0.479268745197333	0.528184250112986	0.511920752100136
cg02133939	0.65903602795875	0.893322476110166	0.0696435189277628	0.922743255183137	0.918415390693224	0.910697376155442
cg07215281	0.929421635296767	0.325640848794853	0.93503492669241	0.94105522830672	0.943623831396286	0.934648636253747
cg07879474	0.657156089627503	0.682895494387683	0.147533093973712	0.774247487299881	0.778459798726325	0.760487127470787
cg00482026	0.886247972929919	0.937796952870043	0.0824214142143087	0.948006753083649	0.942011511992619	0.938477171425258
cg20538211	0.633191756716316	0.712798173074631	0.0750706661757656	0.785837084504172	0.889133902402219	0.878465444436144
cg00948513	0.828744238561133	0.893395053980297	0.113996964541056	0.925986019493757	0.928547785656158	0.921062244313233
cg11525052	0.190289024937025	0.64603917683417	0.103509928804893	0.227443799226816	0.0488644239036024	0.0459066305935636
cg22442430	0.0869412301864642	0.0755390144226963	0.812586416918487	0.0755653697469416	0.107268367663496	0.255492199317811
cg10796068	0.758873499225267	0.904315377632134	0.0883138902850143	0.917446196698349	0.940942193067703	0.932095708410149
cg17679268	0.876463810685014	0.914170453149625	0.0961544143870014	0.881220381375444	0.811473627251174	0.814046492434647
cg27249387	0.941177692147895	0.93515184066755	0.931342637856526	0.928165814794994	0.0772284075633053	0.856807216661392
cg14047092	0.853547093148788	0.924253961075627	0.0972067568884413	0.947932803400141	0.94938658276356	0.939766081721549
cg04298647	0.745000507133539	0.389209811573623	0.843398917050014	0.789590161434978	0.843540878195484	0.84719038221585
cg14133557	0.791882927986651	0.759780972696986	0.0608041371731354	0.708932669743056	0.691507837965592	0.714942655140834
cg03918239	0.67829272300677	0.771554833560695	0.0665956711386165	0.956253774821444	0.926423612129445	0.846243055093372
cg22130673	0.828640478017114	0.842324207828813	0.328341506006476	0.90299225250543	0.828030183087459	0.83932115100604
cg04790521	0.36637633691504	0.735525154762722	0.855067964730602	0.824767522070368	0.893488696129633	0.875218397205895
cg24226193	0.506331536198017	0.376423132432391	0.125592839277551	0.198283548829399	0.078973724955096	0.914277245044834
cg06335209	0.899395124015961	0.924982815298257	0.113877660610982	0.809800662839444	0.880501039895366	0.901299753357411
cg06443794	0.881416306237153	0.440395553870383	0.858021379023098	0.941712006440792	0.948762497864265	0.942931308799861
cg21063192	0.943890580144833	0.937261262614211	0.0803062088999859	0.941886805016266	0.895260109584842	0.905132744549176
cg25939861	0.0816674993146667	0.825993633392268	0.674132446789119	0.9100509552253	0.909888398487421	0.917217645518115
cg13121392	0.351882130697143	0.718402185564932	0.0580110358580871	0.0329495197973769	0.0344293322124253	0.0590898921349839
cg06146156	0.769871806285212	0.323610004282542	0.870831896025169	0.93704984349521	0.946944774876861	0.923113124791492
cg18179862	0.496466248292486	0.209017572899995	0.882828139960263	0.248759357766648	0.277339478047741	0.144053078976728
cg25295512	0.727572964500868	0.345164418060428	0.903326149224296	0.910616330910293	0.913749039794737	0.908205508593583
cg06419846	0.446062461956022	0.939562355404082	0.966541793766142	0.980600584554644	0.982675785898182	0.96998739765769
cg05496363	0.343905006792632	0.826269502123465	0.869054607985443	0.871526629636858	0.896652126027916	0.872086653012327
cg04842938	0.901940616954483	0.87903586861101	0.833739373177596	0.758789330742076	0.0466242988477146	0.81139669401135
cg15901239	0.282126210824343	0.302379931945182	0.16438226125536	0.498103021952579	0.0595300291389097	0.877658619680316
cg02219383	0.495409078591035	0.858096902886923	0.74828499081388	0.920621316494051	0.922278685571695	0.904972260502649
cg16494350	0.844478340503951	0.742135702945703	0.894303050763386	0.84161474665045	0.0662959938808202	0.875009729994579
cg12145363	0.687731441853856	0.80855807341248	0.0582142179398462	0.768774360041848	0.778152629796419	0.65425861577561
cg00467292	0.866789682641611	0.803775980609706	0.264879598874336	0.888115487795259	0.842904218730882	0.845505562061043
