CpG,Beta,SE,P,StudyID
cg07690219,-0.68,0.17,8.5e-05,Battram-T_hip_lower_neck_bone_mineral_density
cg27309542,0.65,0.16,6.1e-05,Battram-T_hip_lower_neck_bone_mineral_density
cg08201690,-0.9,0.2,1.3e-05,Battram-T_hip_lower_neck_bone_mineral_density
cg03828224,-0.87,0.2,2.4e-05,Battram-T_hip_lower_neck_bone_mineral_density
cg20459035,-0.69,0.17,7.2e-05,Battram-T_hip_lower_neck_bone_mineral_density
cg18899777,-0.76,0.19,7.1e-05,Battram-T_hip_lower_neck_bone_mineral_density
cg21295575,0.77,0.18,3.4e-05,Battram-T_hip_lower_neck_bone_mineral_density
cg18057887,-1.08,0.26,4.5e-05,Battram-T_hip_lower_neck_bone_mineral_density
cg00841725,0.69,0.16,1.8e-05,Battram-T_hip_lower_neck_bone_mineral_density
cg27560367,0.85,0.21,3.9e-05,Battram-T_hip_lower_neck_bone_mineral_density
cg02274103,-0.94,0.24,7.2e-05,Battram-T_hip_lower_neck_bone_mineral_density
cg12033822,-0.52,0.13,8e-05,Battram-T_hip_lower_neck_bone_mineral_density
cg06500161,1.02,0.25,4.8e-05,Battram-T_hip_lower_neck_bone_mineral_density
cg26412722,0.76,0.19,9.7e-05,Battram-T_hip_lower_neck_bone_mineral_density
